"","R1 eusocial","R1 non-eusocial","R1 polymorphic","R2 eusocial","R2 non-eusocial","R2 polymorphic"
"R1 eusocial",NA,0.020989756612779,0.020989756612779,0.0361919564324596,NA,NA
"R1 non-eusocial",0.00236645725401666,NA,0.00236645725401666,NA,0.0361919564324596,NA
"R1 polymorphic",0.154351099575274,NA,NA,NA,NA,0.0361919564324596
"R2 eusocial",NA,NA,NA,NA,NA,NA
"R2 non-eusocial",NA,NA,NA,NA,NA,NA
"R2 polymorphic",NA,NA,NA,NA,0.128042575581176,NA
