"transition","avg_count","sd_count","avg_age","sd_age","avg_first_age","sd_first_age"
"R1 eusocial,R1 non-eusocial",20.94,2.16874026647599,8.11026371392176,11.073958876646,39.0011661293306,22.922014565668
"R1 eusocial,R1 polymorphic",5.37,2.14925404019463,10.2279847643226,11.177297127803,22.9249750316914,19.4858622457968
"R1 eusocial,R2 eusocial",67.98,8.49834208430198,10.3179278916408,11.3600899744034,69.0088453297336,7.19057589692405
"R1 non-eusocial,R1 eusocial",5.44,1.7656658114082,25.0317078620601,26.0861139431339,65.5950054889016,23.1813166419799
"R1 non-eusocial,R1 polymorphic",5.83,1.96461114974362,29.2097391349801,25.7184905452423,65.4758573803545,24.463863355477
"R1 non-eusocial,R2 non-eusocial",79.39,11.7360663139424,33.2608167438422,32.2616711244541,111.226327243161,4.83888406359158
"R1 polymorphic,R1 eusocial",20.21,5.09960386657234,12.2068417687626,14.9402243678521,51.7093192163154,24.4036082008404
"R1 polymorphic,R1 non-eusocial",11.07,3.40900471271501,12.5960489656674,17.9484446129348,47.8079236155206,27.7877828855848
"R2 eusocial,R2 non-eusocial",1.2,0.651338947278929,1.8967908280048,5.95309989341555,2.23031112058575,6.75213096417528
