"transition","avg_count","sd_count","avg_age","sd_age","avg_first_age","sd_first_age"
"R1 eusocial,R1 non-eusocial",42.45,6.37446769415599,10.1178524375179,12.3710063818175,58.2095129677248,25.1831849109757
"R1 eusocial,R1 polymorphic",41.23,7.87253889713279,9.77092398730162,10.7826537450064,50.7546423711457,22.8750289646219
"R1 eusocial,R2 eusocial",70.28,9.1806559920544,9.48443184517727,11.0972974329882,71.8385907347383,6.58175119187436
"R1 non-eusocial,R1 eusocial",6.18,2.22192927362004,25.9618560811873,27.6883804533556,73.1775790747856,21.9841644959127
"R1 non-eusocial,R1 polymorphic",6.2,2.26969494679685,26.4843460124034,25.5361270495995,66.687568471384,24.1592558768759
"R1 non-eusocial,R2 non-eusocial",92.68,15.218861237745,29.1683770615646,31.1665357405367,111.509554040577,4.84751665706745
"R1 polymorphic,R1 eusocial",52.04,14.02157068393,12.104350564152,13.6290007317749,63.6216306508126,22.2483270192472
"R1 polymorphic,R2 polymorphic",13.2,4.09483537735973,12.5435856167249,14.4610247226082,44.1895103521103,23.6767447334212
"R2 polymorphic,R2 non-eusocial",16,7.09531072916714,9.57682140852922,13.1078551867156,38.2734957013411,23.5097948462555
